610nm,680nm,730nm,760nm,810nm,860nm
2.5809,23.0296,307.1801,176.8998,9.1191,3.6361
1.2904,21.9828,310.4023,179.7378,9.1191,3.6361
1.2904,23.0296,318.9947,184.4677,8.1059,3.6361
2.5809,23.0296,318.9947,185.4137,9.1191,3.6361
2.5809,23.0296,315.7726,183.5217,9.1191,3.6361
2.5809,23.0296,316.8466,185.4137,9.1191,3.6361
2.5809,23.0296,312.5504,184.4677,9.1191,3.6361
1.2904,23.0296,306.106,181.6298,9.1191,3.6361
2.5809,23.0296,302.8839,181.6298,9.1191,3.6361
2.5809,23.0296,308.2542,184.4677,9.1191,3.6361
2.5809,23.0296,299.6617,182.5758,9.1191,3.6361
2.5809,23.0296,313.6244,189.1977,9.1191,3.6361
2.5809,23.0296,314.6985,190.1437,9.1191,3.6361
2.5809,24.0764,320.0688,192.9816,9.1191,3.6361
2.5809,24.0764,315.7726,192.9816,9.1191,3.6361
2.5809,24.0764,325.4391,198.6576,10.1324,3.6361
2.5809,24.0764,320.0688,196.7656,10.1324,3.6361
2.5809,25.1232,327.5872,200.5495,10.1324,3.6361
2.5809,25.1232,328.6612,202.4415,10.1324,3.6361
2.5809,25.1232,331.8834,203.3875,10.1324,3.6361
2.5809,25.1232,328.6612,201.4955,10.1324,3.6361
2.5809,25.1232,323.2909,201.4955,10.1324,3.6361
2.5809,25.1232,332.9574,206.2255,10.1324,3.6361
2.5809,25.1232,337.2537,207.1714,11.1456,3.6361
2.5809,25.1232,337.2537,208.1174,11.1456,3.6361
2.5809,26.17,343.698,211.9014,10.1324,3.6361
2.5809,26.17,344.7721,212.8474,11.1456,3.6361
2.5809,26.17,343.698,212.8474,11.1456,3.6361
2.5809,26.17,344.7721,214.7394,11.1456,3.6361
2.5809,26.17,349.0683,216.6313,11.1456,4.8482
2.5809,27.2168,349.0683,217.5773,11.1456,3.6361
2.5809,27.2168,354.4386,220.4153,11.1456,4.8482
2.5809,27.2168,355.5126,221.3613,11.1456,4.8482
2.5809,27.2168,351.2164,222.3073,11.1456,4.8482
2.5809,27.2168,354.4386,221.3613,11.1456,4.8482
2.5809,27.2168,359.8088,225.1452,11.1456,4.8482
2.5809,28.2636,364.1051,226.0912,11.1456,4.8482
2.5809,28.2636,364.1051,227.9832,12.1588,4.8482
2.5809,28.2636,367.3272,228.9292,12.1588,4.8482
